pi,alpha,DU,mean_W_T,median_W_T,p05_W_T,p95_W_T,prob_ruin_T
0.3,0.02,-891.4862956658319,1.431769429228609,1.3596535763877335,0.7969614645475139,2.307345782033309,0.0
0.3,0.025,-758.6620819025641,1.2323423022235447,1.170268814270775,0.6859462387004791,1.9859787966312998,0.0
0.3,0.03,-673.730240758896,1.0606896608203027,1.0072602650541729,0.5903934666561769,1.709366699507257,0.0
0.3,0.034999999999999996,-616.5154097930697,0.9129437545048734,0.8669548479336495,0.5081497473672131,1.4712774492389717,0.0
0.3,0.039999999999999994,-576.9677063880748,0.7857753771577789,0.7461909273601586,0.4373615422146856,1.2663467068333147,0.0
0.3,0.045,-549.54184417883,0.6763188888231955,0.6422471067355324,0.3764334237267734,1.0899570371222589,0.0
0.3,0.049999999999999996,-530.9493136747769,0.5821076750500332,0.5527809347256736,0.3239921368670548,0.9381339254203785,0.0
0.3,0.05499999999999999,-519.1371991799148,0.5010185909763564,0.47577614441446936,0.2788556637647648,0.8074562690126946,0.0
0.3,0.06,-512.7781648196126,0.43122413952795235,0.40949723755634937,0.24000659537939684,0.6949793287567009,0.0
0.39999999999999997,0.02,-878.8312388253959,1.6134711879601031,1.4704940849370163,0.7212282555219306,2.9764796256043162,0.0
0.39999999999999997,0.025,-747.5840629729864,1.3887386172731777,1.2656713723672617,0.6207607710055447,2.5619265578503665,0.0
0.39999999999999997,0.03,-663.6143584337433,1.195304398452244,1.0893748377976178,0.5342868707797098,2.205104345797542,0.0
0.39999999999999997,0.034999999999999996,-607.0008837164954,1.0288101267969314,0.937632019720444,0.45985768406622307,1.8979742770514099,0.0
0.39999999999999997,0.039999999999999994,-567.8197455201934,0.885504251676698,0.8070235856368424,0.3957957262793765,1.6336168596097278,0.0
0.39999999999999997,0.045,-540.5945707540457,0.7621575891970509,0.6946063226469315,0.3406571119686404,1.4060760118517195,0.0
0.39999999999999997,0.049999999999999996,-522.0770933254424,0.6559905960094373,0.5978468484594374,0.29319902852749663,1.2102249408371435,0.0
0.39999999999999997,0.05499999999999999,-510.2388662730063,0.5646107672292533,0.5145645506089909,0.252351738340885,1.0416506903081149,0.0
0.39999999999999997,0.06,-503.7676779395745,0.4859587492597534,0.442882469352165,0.21719447897569144,0.8965547598712699,0.0
0.5,0.02,-874.8258963932187,1.8180243633269244,1.5708903294112457,0.6449563826088379,3.794352923469799,0.0
0.5,0.025,-744.0817195769482,1.5648042624491463,1.3520839864120222,0.5551118189548877,3.265901547670699,0.0
0.5,0.03,-660.4195535357927,1.3468494386015184,1.1637513015619083,0.4777814787618515,2.8110408802930698,0.0
0.5,0.034999999999999996,-603.9990001023806,1.1592491504539006,1.0016486214207936,0.41122248541287065,2.419524043271256,0.0
0.5,0.039999999999999994,-564.9362551420331,0.9977764068444243,0.8621231814809949,0.35393466800957524,2.082530786656941,0.0
0.5,0.045,-537.7768819030758,0.8587927752170358,0.7420308397809131,0.3046267670299797,1.7924688879948698,0.0
0.5,0.049999999999999996,-519.2854333631514,0.7391664411024956,0.638665262736356,0.2621873449753149,1.5428031957093182,0.0
0.5,0.05499999999999999,-507.44126627301983,0.6362016742547557,0.5496969691197768,0.22565974703195904,1.3279084690588299,0.0
0.5,0.06,-500.9370028830788,0.5475781137423763,0.47312085997570796,0.19422054794240767,1.1429427026364858,0.0
0.6,0.02,-879.3029934360968,2.0482451897386285,1.658519307996734,0.5702124677297212,4.77788187420281,0.0
0.6,0.025,-748.0063529361521,1.7629633592522895,1.4275067619947592,0.4907781467207761,4.1124638669785725,0.0
0.6,0.03,-664.0079943995644,1.5174113787298102,1.2286679333669925,0.4224082878936388,3.5397084274787813,0.0
0.6,0.034999999999999996,-607.3782207777514,1.3060568889212922,1.0575224142344808,0.36356188973646847,3.0467133267475504,0.0
0.6,0.039999999999999994,-568.1889648237991,1.124137820916418,0.9102136529080501,0.312912549122012,2.6223726230628945,0.0
0.6,0.045,-540.9615890429018,0.967555158034717,0.7834220974445966,0.26931857994122105,2.2571266058444746,0.0
0.6,0.049999999999999996,-522.4465244930184,0.8327806254695976,0.6742904304257884,0.23179729204092442,1.942746545207727,0.0
0.6,0.05499999999999999,-510.6145528887323,0.716777229950069,0.5803592119403183,0.19950285130321868,1.6721494030708983,0.0
0.6,0.06,-504.15300867634863,0.616930860843193,0.49951148198941425,0.1717072223211548,1.4392383358225846,0.0
0.7,0.02,-892.4661031229506,2.307301570518231,1.729592001208187,0.4980427806393538,5.941666906764601,0.0
0.7,0.025,-759.539132016493,1.9859427412093325,1.4886789700585832,0.4286603370876514,5.114183512330636,0.0
0.7,0.03,-674.5477919546006,1.7093373860977699,1.2813186452653442,0.368942477743973,4.401928884260223,0.0
0.7,0.034999999999999996,-617.2991490320082,1.47125369940366,1.102838568324693,0.31754313339295137,3.7888590034997778,0.0
0.7,0.039999999999999994,-577.7346475647612,1.2663275395754172,0.949216880608011,0.27330369206695443,3.2611635057648356,0.0
0.7,0.045,-550.3042968009319,1.0899416367542862,0.8169917431950017,0.2352268962097459,2.806954746585495,0.0
0.7,0.049999999999999996,-531.7168814196903,0.9381216145514002,0.7031833663520264,0.20245437416530657,2.416000144995937,0.0
0.7,0.05499999999999999,-519.9178847741325,0.807446485852418,0.6052268934695495,0.1742473000384244,2.0794917826548533,0.0
0.7,0.06,-513.5790300024811,0.6949716080582036,0.5209146285554436,0.1499697464021379,1.7898480733533264,0.0
