pi,alpha,DU,mean_W_T,median_W_T,p05_W_T,p95_W_T,prob_ruin_T
0.3,0.02,-891.5495905230423,1.427261233895924,1.3477681304509597,0.7801851709659807,2.3569521645897487,0.0
0.3,0.025,-758.7804380601864,1.2284620151633672,1.1600386892024772,0.6715065804247056,2.028676840614126,0.0
0.3,0.03,-673.8949506578928,1.057349835958302,0.9984549456714836,0.5779650294954354,1.746118372207041,0.0
0.3,0.034999999999999996,-616.7227023222833,0.9100691226195273,0.8593759162803558,0.497452431158923,1.5029107818538088,0.0
0.3,0.039999999999999994,-577.2164276670666,0.7833011504482232,0.7396675939562614,0.42815425154919495,1.2935744404640113,0.0
0.3,0.045,-549.8324455395343,0.6741893015120677,0.6366323639197877,0.36850863704088604,1.1133926732486992,0.0
0.3,0.049999999999999996,-531.2833649338133,0.5802747271646734,0.5479482454996302,0.31717123163492317,0.9583055421143702,0.0
0.3,0.05499999999999999,-519.5171431882408,0.4994409670249443,0.4716165922482224,0.2729848925333787,0.8248184138660489,0.0
0.3,0.06,-513.2071952836253,0.4298662777238972,0.4059170729905608,0.23495362204584352,0.7099232562250488,0.0
0.39999999999999997,0.02,-878.9937415685607,1.6082704623625923,1.4532852457902705,0.7012830057282505,3.062085946109622,0.0
0.39999999999999997,0.025,-747.8104828816068,1.3842622984370845,1.2508592604950097,0.6035935409108448,2.635611365583359,0.0
0.39999999999999997,0.03,-663.8967435403099,1.191451595552093,1.076625691655356,0.5195107754675344,2.268527638666084,0.0
0.39999999999999997,0.034999999999999996,-607.3363385185695,1.0254939988503022,0.9266585511804053,0.44713971258061913,1.9525649346602616,0.0
0.39999999999999997,0.039999999999999994,-568.2081052987932,0.8826500512152825,0.7975785097011535,0.38484924049600994,1.680604817757093,0.0
0.39999999999999997,0.045,-541.0373933056856,0.7597009783099761,0.6864767878876716,0.33123538976509675,1.446519958451326,0.0
0.39999999999999997,0.049999999999999996,-522.5771809126072,0.653876196841817,0.5908496428097156,0.2850897058831661,1.2450361565965897,0.0
0.39999999999999997,0.05499999999999999,-510.80003196686954,0.5627909142967613,0.5085419745790392,0.245372025230319,1.071613570748331,0.0
0.39999999999999997,0.06,-504.3946377088679,0.4843924154833021,0.43769878376559385,0.21118704133695756,0.922344480596962,0.0
0.5,0.02,-875.1110366529791,1.8130862148240348,1.5486183553794661,0.6226043763079226,3.9306139657811214,0.0
0.5,0.025,-744.4377130163261,1.5605540409159435,1.3329138228068633,0.5358731328554592,3.3831875477956785,0.0
0.5,0.03,-660.8401195706889,1.343191320738937,1.1472510093759065,0.4612225204215844,2.9119939088850706,0.0
0.5,0.034999999999999996,-604.4826704565126,1.1561006589434244,0.9874464039734618,0.3969700419914085,2.5064183328670673,0.0
0.5,0.039999999999999994,-565.484226864432,0.9950665517716195,0.8498990112731706,0.34166749910666394,2.1573239375349864,0.0
0.5,0.045,-538.3920954999447,0.8564604542931,0.731509250943998,0.2940683679906738,1.8568459466002636,0.0
0.5,0.049999999999999996,-519.9721451133789,0.7371590626515288,0.6296091468369269,0.2530997177252121,1.598214597612249,0.0
0.5,0.05499999999999999,-508.2048494761682,0.6344739719506306,0.5419022346592637,0.2178380381849547,1.3756027003716003,0.0
0.5,0.06,-501.7838680875881,0.5460911263970347,0.4664118353626343,0.1874884334462897,1.18399441497924,0.0
0.6,0.02,-879.7301709813489,2.044997930562797,1.630754574253517,0.5464231821809474,4.985037092441445,0.0
0.6,0.025,-748.5104865147227,1.7601686867718842,1.4036090108781085,0.4703024501042879,4.290773110201337,0.0
0.6,0.03,-664.5850880932638,1.515006220891611,1.20809864521781,0.404784685743493,3.6931879869461497,0.0
0.6,0.034999999999999996,-608.0286206919782,1.303986962328847,1.0398180556253704,0.34839315413747685,3.1788203598488267,0.0
0.6,0.039999999999999994,-568.915508057263,1.1223564063311977,0.8949752363640762,0.29985677013012607,2.7360829851064987,0.0
0.6,0.045,-541.7688208343046,0.9660220464637413,0.7703061945913112,0.2580814628771031,2.3550018488454043,0.0
0.6,0.049999999999999996,-523.3403477245076,0.8314612110776374,0.66300143625096,0.22212552721873066,2.0269915912907943,0.0
0.6,0.05499999999999999,-511.60207940403075,0.7156417293440683,0.5706426860140776,0.1911784068981587,1.7446621903167123,0.0
0.6,0.06,-505.24251705302885,0.6159536411252006,0.49114841672728227,0.16454243186097542,1.5016525537853327,0.0
0.7,0.02,-893.0511890056977,2.3077486908570757,1.6967772083264463,0.47388564332269884,6.241318759899451,0.0
0.7,0.025,-760.2074766616591,1.9863281679875857,1.460434342517891,0.4078681416759791,5.372107938682598,0.0
0.7,0.03,-675.2980151187558,1.7096696300764953,1.2570077616428539,0.3510465616266001,4.623935893713251,0.0
0.7,0.034999999999999996,-618.133645426629,1.4715400975025863,1.0819136224121424,0.3021401009622514,3.979949728423793,0.0
0.7,0.039999999999999994,-578.6580854419487,1.2665744167413486,0.9312063440466735,0.26004632652295834,3.4256428012438316,0.0
0.7,0.045,-551.3229986099325,1.0901544455130314,0.8014897455726069,0.22381633671940118,2.9485281178529488,0.0
0.7,0.049999999999999996,-532.8385634080776,0.9383050553193094,0.6898405537044061,0.1926333822203324,2.5378571833213925,0.0
0.7,0.05499999999999999,-521.1515661055726,0.8076046106597073,0.5937425594001238,0.1657944633764621,2.184377987386181,0.0
0.7,0.06,-514.9350333024908,0.6951079099707286,0.5110299408277874,0.14269448996380824,1.8801266765188085,0.0
